FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,TOTAL,DEMANDA MAXIMA
20/03/2018,866.731,818.911,793.121,783.371,797.131,865.351,953.279,991.637,1075.411,1098.793,1122.109,1110.005,1077.179,1126.587,1170.095,1167.491,1157.193,1142.639,1356.591,1394.281,1354.331,1246.821,1096.171,960.581,25486.588,1396.961
21/03/2018,879.11,841.28,825.03,810.58,820.94,894.65,997.796,1023.458,1094.99,1120.87,1153.368,1148.028,1109.104,1151.058,1204.67,1209.218,1188.33,1155.988,1383.71,1422.51,1387.91,1280.82,1134.14,993.41,26155.787,1424.67
22/03/2018,896.92,848.49,829.31,819.35,828.33,904.77,999.422,1034.808,1126.334,1159.62,1197.41,1191.288,1149.246,1202.686,1259.81,1251.782,1238.31,1187.09,1396.92,1441.2,1413.64,1314.57,1166.94,1019.36,26814.758,1444.08
23/03/2018,928.17,882.47,859.45,844.75,855.01,925.97,1030.316,1070.674,1140.376,1170.558,1204.588,1209.886,1169.32,1216.408,1283.522,1280.396,1256.51,1204.83,1427.1,1453.7,1407.02,1307.76,1178.99,1051.18,27324.813,1464.95
24/03/2018,963.83,912.65,880.97,863.7,874.99,914.43,893.95,982.41,1088.78,1123.284,1153.308,1131.996,1083.204,1086.376,1091.476,1074.05,1067.372,1085.384,1332.46,1361.34,1321.35,1231.49,1105.93,1005.97,25600.277,1372.01
25/03/2018,916.11,863.56,835.24,810.33,783.85,787.57,743.742,786.776,824.472,848.012,857.892,856.772,844.536,849.438,857.99,869.446,869.36,909.894,1167.95,1206.88,1186.28,1097.68,963.31,851.52,21663.8201,1209.51
26/03/2018,767.5,735.15,706.91,714.59,732.55,818.27,954.27,952.428,1004.244,1035.97,1053.028,1031.016,999.748,1020.186,1068.748,1083.284,1080.29,1078.716,1291.71,1342.12,1310.23,1202.16,1051.75,920.86,23939.803,1343.34
27/03/2018,833.45,795,779.49,770.53,787.46,853.84,923.76,952.62,1020.458,1045.396,1059.674,1048.626,999.898,1041.218,1081.802,1102.696,1110.044,1109.148,1317.15,1352.73,1318.02,1213.75,1061.05,930.16,24505.073,1354.99
28/03/2018,846.44,810.01,788.01,785.2,799.48,881.14,974.953,997.701,1060.914,1090.772,1114.614,1105.773,1065.308,1110.393,1117.342,1172.36,1166.737,1142.41,1369.01,1396.95,1359.93,1256.45,1124.09,981.09,25442.843,1407.1
29/03/2018,892.47,854.86,815.26,804.32,815.14,882.99,955.67279,1005.27486,1098.98717,1136.25658,1169.40832,1167.232,1136.68,1178.746,1208.174,1205.977,1158.555,1121.414,1352.88,1369.83,1324.68,1228.6,1118.82,992.48,25946.176,1378.62
30/03/2018,904.82,853.98,819.06,796.69,793.08,813,738.9881859,776.8230901,816.2609595,842.1031304,865.4435098,873.8133594,860.04754,860.32967,871.1013,880.62657,896.04147,916.63106,1182.7,1221.18,1192.3,1111.77,999.36,899.2,21789.425,1225.08
31/03/2018,822.24,775.96,752.91,746.51,751.17,788.33,764.0891899,853.3846597,943.4504502,1000.521839,1017.19155,1019.00302,992.4497002,994.2804209,1004.68632,999.4770498,990.3049104,995.776571,1255.58,1286.4,1244.58,1183.43,1065.62,945.66,23137.2604,1291.16
01/04/2018,862.9,811.36,784.36,768.91,762.13,765.95,698.964529,752.38795,820.5151401,860.0293301,891.1725508,897.8588584,895.9964502,902.5017998,939.0072202,947.3033501,958.9875503,986.320733,1263.23,1303.94,1274.98,1192.26,1053.86,928.38,22325.3245,1307.02
02/04/2018,842.71,799.35,770.26,750.98,751.3,832,962.423297,957.25347,1053.838661,1082.445281,1116.029451,1131.36857,1093.47776,1124.47086,1181.08961,1188.6565,1172.4243,1146.04306,1373.76,1395.02,1354.77,1253.54,1106.37,969.12,25410.332,1402.41
03/04/2018,874.18,832.73,809.32,795.74,809.86,887.07,966.27419,1003.28717,1095.07196,1124.42932,1162.48087,1161.05012,1120.240671,1180.19704,1234.100329,1228.63872,1210.10853,1189.991035,1423.81,1445.63,1404.71,1298.84,1152.91,994.56,26357.102,1453.86
04/04/2018,905.73,854.93,834.31,820.79,833.02,916.04,1014.495504,1048.98263,1140.30594,1174.64695,1199.983119,1174.526704,1130.768177,1179.880859,1236.605501,1241.825243,1216.327049,1195.127255,1437.57,1459.41,1422.3,1321.23,1176.7,1030.53,27025.67,1461.18
05/04/2018,940.03153,883.97849,856.24126,837.42429,843.88307,920.50684,1015.203704,1052.521,1139.3947,1190.81998,1215.22312,1205.75171,1176.057801,1241.154389,1293.868921,1285.29585,1261.52627,1232.056892,1464.37092,1480.17317,1441.68617,1346.22808,1203.67877,1058.00532,27522.2648,1490.55139
06/04/2018,955.17,899.13,865.85,854.49,864.42,939.57,1019.94,1066.08,1155.19,1199.67,1235.83,1232.61,1197.13,1246.78,1257.79,1286.07,1257.83,1228.56,1467.45,1475.94,1429.36,1317.53,1200.7,1064.17,27705.34,1481
07/04/2018,965.38,909.6,874.41,864.73,863.31,904.24,886.050957,979.1791301,1088.78604,1125.09583,1146.58084,1139.784759,1104.06599,1113.127261,1121.608211,1101.98589,1093.20433,1093.4666,1377.04,1394.27,1349.8,1270.36,1141.72,1021.34,25968.336,1396.14
08/04/2018,935.87,885.31,845.81,824.2,816.86,829.23,758.361569,816.4240002,867.57473,896.0004404,914.0278799,930.326499,929.1429287,948.5048101,969.43725,978.0256001,981.3090898,1010.838864,1309.92,1339.13,1312.56,1233.1,1100.49,969.28,23417.427,1342.13
09/04/2018,871.69,836.34,807.4,794.93,800.18,880.55,1011.209535,1036.47985,1129.39081,1181.08321,1221.1686,1238.72155,1201.54555,1250.88069,1307.46704,1291.69101,1270.84008,1244.099798,1472.87,1493.59,1457.99,1345.09,1206.15,1056.6,27369.725,1499.64
10/04/2018,955.07796,897.58948,866.26631,852.33124,860.53506,932.12906,1008.053948,1062.21693,1178.33905,1230.69159,1266.112001,1260.870409,1217.444541,1273.22933,1337.65304,1328.63309,1304.12345,1265.587937,1502.89598,1517.02569,1479.63711,1364.97147,1220.58856,1073.54024,28208.562,1524.05457
11/04/2018,959.72974,905.15951,868.55084,854.89429,862.65889,939.82572,1027.236292,1064.05156,1161.13394,1197.53917,1238.61333,1234.88834,1201.970229,1254.16892,1309.98771,1316.213492,1291.88203,1254.679137,1479.41755,1502.22225,1466.61299,1358.63472,1229.03682,1077.21634,27989.3,1508.55158
12/04/2018,969.90957,910.47801,878.83215,866.95861,871.74685,944.50797,1033.449416,1081.97775,1168.877239,1208.60092,1236.57502,1233.41732,1198.02443,1248.49057,1295.25717,1298.67987,1263.3226,1240.969921,1475.55146,1480.52,1443.46998,1340.66324,1197.91458,1054.90524,27892.964,1485.814
13/04/2018,952.83,904.81,851.71,822.38,856.65,917.31,999.853425,1005.98637,1071.509721,1094.37736,1106.84808,1081.295061,1029.03975,1056.395,1096.85252,1105.29096,1106.45705,1122.069,1344.08,1334.01,1278.96,1182.63,1058.18,938.5,25385.332,1345.02
14/04/2018,857.78551,808.839,795.23107,773.38287,790.806,837.45792,820.24561,898.47064,973.65377,1002.23152,1015.3629,1005.92691,973.44348,972.39393,977.18859,977.24282,971.1535,1008.58851,1280.11881,1290.63,1251.2,1153.22052,1025.77,916.71,23400.091,1292.3905
